2026-04-13 11:15:40 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.20 ms
2026-04-13 11:15:41 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:41 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 179.60 ms
2026-04-13 11:15:41 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.09 ms
2026-04-13 11:15:41 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:41 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:41 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:41 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 175.62 ms
2026-04-13 11:15:41 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:41 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 188.68 ms
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:42 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:42 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 156.75 ms
2026-04-13 11:15:42 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:42 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:42 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 180.48 ms
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.07 ms
2026-04-13 11:15:42 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 108.26 ms
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:43 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:43 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 160.39 ms
2026-04-13 11:15:43 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.12 ms
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 107.38 ms
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.08 ms
2026-04-13 11:15:43 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:43 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:43 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:44 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:44 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 151.25 ms
2026-04-13 11:15:44 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.07 ms
2026-04-13 11:15:44 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 134.48 ms
2026-04-13 11:15:44 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.07 ms
2026-04-13 11:15:44 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:44 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:44 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:44 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:44 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 152.23 ms
2026-04-13 11:15:44 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.06 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 131.15 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:45 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 114.08 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 132.57 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:45 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:45 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:46 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:46 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 198.83 ms
2026-04-13 11:15:46 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.11 ms
2026-04-13 11:15:46 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 147.61 ms
2026-04-13 11:15:46 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.08 ms
2026-04-13 11:15:46 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:46 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:46 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:46 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 135.17 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.06 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 118.89 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.06 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 154.60 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.06 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 134.86 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.07 ms
2026-04-13 11:15:47 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:48 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:48 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:48 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 164.29 ms
2026-04-13 11:15:48 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.12 ms
2026-04-13 11:15:48 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:48 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 112.70 ms
2026-04-13 11:15:48 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.07 ms
2026-04-13 11:15:48 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:48 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:48 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 148.95 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.10 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:49 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 134.06 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.27 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:49 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 169.31 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.14 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
2026-04-13 11:15:49 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] sort_files(image_data/cam2) took 123.06 ms
2026-04-13 11:15:49 | INFO | Pipeline-cam2 | file_reading_tools | [TIMER] SQLite.get(files) took 0.13 ms
2026-04-13 11:15:50 | INFO | Pipeline-cam1 | file_reading_tools | [delete_old_files] folder=image_data/cam1 minutes=1 -> deleted=0, skipped=1138
2026-04-13 11:15:50 | INFO | Pipeline-cam2 | file_reading_tools | [check_if_updated] folder=cam2 last=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg latest=image_data\cam2\cam2__YED__67025__20260411_235405_219741.jpg -> False
2026-04-13 11:15:50 | INFO | Pipeline-cam2 | file_reading_tools | [delete_old_files] folder=image_data/cam2 minutes=1 -> deleted=0, skipped=1239
2026-04-13 11:15:50 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] sort_files(image_data/cam1) took 218.59 ms
2026-04-13 11:15:50 | INFO | Pipeline-cam1 | file_reading_tools | [TIMER] SQLite.get(files) took 0.11 ms
2026-04-13 11:15:50 | INFO | Pipeline-cam1 | file_reading_tools | [check_if_updated] folder=cam1 last=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg latest=image_data\cam1\cam1__YED__67025__20260411_235405_454964.jpg -> False
